OBJECTID,NAME,TERM_ID,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,WEBSITE,EXSTARS_I,OWNER,OPERATOR,POSREL,COMMODITY,CAPACITY,TRUCK_IN,TRUCK_OUT,MARINE_IN,MARINE_OUT,RAIL_IN,RAIL_OUT,PIPE_IN,PIPE_OUT,ASPHALT,CHEMICALS,PROPANE,BUTANE,REFINED,ETHANOL,BIODIESEL,CRUDE_OIL,JETFUEL,GASOLINE,DISTILLATE,AVGAS,RENEWABLE_DIESEL
1,"MURPHY OIL USA, INCORPORATED - ANNISTON TERMINAL",ANLTK01001,2625 HIGHWAY 78 EAST,ANNISTON,AL,36207,NOT AVAILABLE,(256) 831-0201,BULK TERMINAL,IN SERVICE,CALHOUN,1015,33.615887,-85.776311,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.murphyoilcorp.com,T-63-AL-2333,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",213512,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
2,PLANTATION PIPELINE COMPANY - OXFORD TERMINAL,ANLTK01002,114 CHEVRON RD,ANNISTON,AL,36207,NOT AVAILABLE,(256) 831-2621,BREAKOUT TANKS - PRODUCTS,IN SERVICE,CALHOUN,1015,33.616732,-85.780351,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,205000,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3,GOODWAY REFINING LLC,ANLTK01003,4745 ROSS ROAD,ATMORE,AL,36502,NOT AVAILABLE,(337) 302-3121,REFINERY TERMINAL,IN SERVICE,ESCAMBIA,1053,31.18090097,-87.44012149,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, REFINED, CHEMICALS",92000,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO
4,ALLIED ENERGY COMPANY LLC,ANLTK01004,2700 ISHKOODA-WENONAH ROAD,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-6230,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.451126,-86.87623,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.alliedenergycorp.com/,T-72-AL-2343,ALLIED ENERGY COMPANY,ALLIED ENERGY COMPANY,WITHIN 40 FEET,"REFINED, BIOFUEL, CHEMICALS",400000,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO
5,CHEVRON PRODUCTS COMPANY,ANLTK01005,2400 28TH STREET SW,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-3916,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.458665,-86.878972,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.chevron.com,T-63-AL-2301,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",336344,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
6,CITGO PETROLEUM CORPORATION - BIRMINGHAM TERMINAL,ANLTK01006,"2200 25TH STREET, SW",BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-6641,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.461131,-86.87785,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.citgo.com,T-63-AL-2302,NOT AVAILABLE,CITGO PETROLEUM CORPORATION,WITHIN 40 FEET,"REFINED, CHEMICALS",445448,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO
7,KINDER MORGAN SOUTHEAST TERMINALS,ANLTK01007,2635 BALSAM AVENUE SW,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-7685,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.459208,-86.874938,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,www.kindermorgan.com,T-63-AL-2307,Kinder Morgan,Kinder Morgan,WITHIN 40 FEET,REFINED,144168,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
8,MAGELLAN TERMINALS HOLDING - MAGELLAN BIRMINGHAM I TERMINAL,ANLTK01008,2500 NABORS ROAD,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-8546,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.457732,-86.872631,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,225000,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
9,MAGELLAN TERMINALS HOLDING - MAGELLAN BIRMINGHAM II TERMINAL,ANLTK01009,2400 NABORS ROAD,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-8546,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.45928,-86.872575,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.magellanlp.com/,T-63-AL-2309,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",228461,YES,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO
10,MPLX TERMINALS LLC - BIRMINGHAM TERMINAL,ANLTK01010,2704 28TH STREET SW,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-7037,BULK TERMINAL,IN SERVICE,JEFFERSON,1073,33.455022,-86.879725,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,http://www.marathonpetroleum.com/,T-63-AL-2306,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT",115655,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO
