X,Y,OBJECTID,TERM_ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,EXSTARS_I,OWNER,OPERATOR,POSREL,COMMODITY,CAPACITY,TRUCK_IN,TRUCK_OUT,PIPE_IN,PIPE_OUT,MARINE_IN,MARINE_OUT,RAIL_IN,RAIL_OUT,ASPHALT,CHEMICALS,PROPANE,BUTANE,REFINED,ETHANOL,BIODIESEL,CRUDE_OIL,JETFUEL,GASOLINE,DISTILLATE,AVGAS
-85.776311,33.615887,1,ANLTK01001,"MURPHY OIL USA, INCORPORATED - ANNISTON TERMINAL",2625 HIGHWAY 78 EAST,ANNISTON,AL,36207,NOT AVAILABLE,(256) 831-0201,BULK TERMINAL,IN SERVICE,-999,CALHOUN,1015,USA,33.615887,-85.776311,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/09/14 00:00:00+00,www.murphyoilcorp.com,T-63-AL-2333,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",213512,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,YES,NOT AVAILABLE
-85.780351,33.616732,2,ANLTK01002,PLANTATION PIPELINE COMPANY - OXFORD TERMINAL,114 CHEVRON RD,ANNISTON,AL,36207,NOT AVAILABLE,(256) 831-2621,BREAKOUT TANKS - PRODUCTS,IN SERVICE,-999,CALHOUN,1015,USA,33.616732,-85.780351,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2015/10/28 00:00:00+00,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,205000,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
-87.44012149,31.18090097,3,ANLTK01003,GOODWAY REFINING LLC,4745 ROSS ROAD,ATMORE,AL,36502,NOT AVAILABLE,(337) 302-3121,REFINERY TERMINAL,IN SERVICE,-999,ESCAMBIA,1053,USA,31.18090097,-87.44012149,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"CRUDE, REFINED, CHEMICALS",92000,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,YES,YES,NO,YES,NO
-86.87623,33.451126,4,ANLTK01004,ALLIED ENERGY COMPANY LLC,2700 ISHKOODA-WENONAH ROAD,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-6230,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.451126,-86.87623,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/03/28 00:00:00+00,http://www.alliedenergycorp.com/,T-72-AL-2343,ALLIED ENERGY COMPANY,ALLIED ENERGY COMPANY,WITHIN 40 FEET,"REFINED, BIOFUEL, CHEMICALS",400000,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
-86.878972,33.458665,5,ANLTK01005,CHEVRON PRODUCTS COMPANY,2400 28TH STREET SW,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-3916,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.458665,-86.878972,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/03 00:00:00+00,www.chevron.com,T-63-AL-2301,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",336344,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,YES,NO,NO,NOT AVAILABLE
-86.87785,33.461131,6,ANLTK01006,CITGO PETROLEUM CORPORATION - BIRMINGHAM TERMINAL,"2200 25TH STREET, SW",BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-6641,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.461131,-86.87785,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/03/28 00:00:00+00,www.citgo.com,T-63-AL-2302,NOT AVAILABLE,CITGO PETROLEUM CORPORATION,WITHIN 40 FEET,"REFINED, CHEMICALS",445448,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
-86.874938,33.459208,7,ANLTK01007,KINDER MORGAN SOUTHEAST TERMINALS,2635 BALSAM AVENUE SW,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-7685,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.459208,-86.874938,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,www.kindermorgan.com,T-63-AL-2307,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,144168,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,YES,NO,YES,NO
-86.872631,33.457732,8,ANLTK01008,MAGELLAN TERMINALS HOLDING - MAGELLAN BIRMINGHAM I TERMINAL,2500 NABORS ROAD,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-8546,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.457732,-86.872631,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2015/10/28 00:00:00+00,http://www.magellanlp.com/,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,NOT AVAILABLE,225000,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
-86.872575,33.45928,9,ANLTK01009,MAGELLAN TERMINALS HOLDING - MAGELLAN BIRMINGHAM II TERMINAL,2400 NABORS ROAD,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-8546,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.45928,-86.872575,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,http://www.magellanlp.com/,T-63-AL-2309,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",228461,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,YES,NO
-86.879725,33.455022,10,ANLTK01010,MPLX TERMINALS LLC - BIRMINGHAM TERMINAL,2704 28TH STREET SW,BIRMINGHAM,AL,35211,NOT AVAILABLE,(205) 925-7037,BULK TERMINAL,IN SERVICE,-999,JEFFERSON,1073,USA,33.455022,-86.879725,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/01/08 00:00:00+00,http://www.marathonpetroleum.com/,T-63-AL-2306,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT",115655,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
